A	Coef.BasalvsLP	Coef.BasalvsML	Coef.LPvsML	t.BasalvsLP	t.BasalvsML	t.LPvsML	p.value.BasalvsLP	p.value.BasalvsML	p.value.LPvsML	Res.BasalvsLP	Res.BasalvsML	Res.LPvsML	Genes.ENTREZID	Genes.SYMBOL	Genes.TXCHROM
4.68	-0.786	-0.443	0.343	0	0	0	0.89227	0.99592	0.9988	0	0	0	66827	Ttc1	chr11
2.39	1.142	0.706	-0.435	0.79	0	0	0.22635	0.94096	0.99335	0	0	0	79560	Ublcp1	chr11
6.24	-0.31	-0.589	-0.278	0	0	0	0.99887	0.98486	0.99943	0	0	0	74315	Rnf145	chr11
0.6	0.126	1.483	1.358	0	1.22	0.91	0.98415	0.12879	0.19392	0	0	0	13591	Ebf1	chr11
7.9	-0.26	0.505	0.765	0	0	0	0.99915	0.99258	0.92609	0	0	0	216705	Clint1	chr11
3.31	-0.019	0.631	0.649	0	0	0	0.99963	0.91101	0.90447	0	0	0	72290	Lsm11	chr11
3.21	0.015	0.213	0.197	0	0	0	0.99998	0.99967	0.99973	0	0	0	66628	Thg1l	chr11
1.12	3.18	4.315	1.135	4.36	6.28	0.24	0.00123	0.00013	0.41303	1	1	0	11492	Adam19	chr11
0.94	5.72	6.69	0.97	7.67	8.97	0	3e-05	1e-05	0.52865	1	1	0	214112	Nipal4	chr11
-1.47	5.115	2.566	-2.55	7.91	3.58	-2.93	3e-05	0.00363	0.00959	1	1	0	76884	Cyfip2	chr11
4.35	0.796	0.606	-0.19	0	0	0	0.80293	0.94445	0.99715	0	0	0	66213	Med7	chr11
-0.64	-8.903	-3.873	5.03	-12.55	-4.31	9.66	0	0.00134	1e-05	-1	-1	1	347708	Dppa1	chr11
2.47	-5.377	-3.517	1.86	-9.34	-5.22	2.6	1e-05	0.00041	0.01579	-1	-1	0	171284	Timd2	chr11
8.2	0.027	0.334	0.307	0	0	0	0.99999	0.9996	0.99983	0	0	0	620678	Gm12174	NA
9.72	-0.327	-0.171	0.156	0	0	0	0.99965	0.99992	0.99996	0	0	0	14694	Rack1	chr11
2.48	0.27	0.845	0.575	0	0	0	0.98675	0.70497	0.9187	0	0	0	100216534	Snord96a	chr11
6.01	0.632	0.428	-0.204	0	0	0	0.98993	0.99902	0.99993	0	0	0	211007	Trim41	chr11
4.94	-0.196	0.342	0.538	0	0	0	0.99969	0.99882	0.99379	0	0	0	94089	Trim7	chr11
1.55	-4.108	-2.189	1.919	-12.41	-4.56	4.65	0	0.00094	0.00084	-1	-1	1	100861855	Gm16170	NA
4.76	1.975	1.775	-0.2	4.24	3.47	0	0.00144	0.00423	0.99631	1	1	0	15944	Irgm1	chr11
0	1.809	1.985	0.176	1.73	2.18	0	0.06114	0.03073	0.95549	0	0	0	21822	Tgtp1	chr11
2.34	-0.384	0.287	0.671	0	0	0	0.93144	0.95369	0.79616	0	0	0	15953	Ifi47	chr11
5.55	-0.768	-0.459	0.309	0	0	0	0.73761	0.92144	0.96828	0	0	0	22720	Zfp62	chr11
6	-0.5	-0.367	0.133	0	0	0	0.99805	0.99952	0.99997	0	0	0	17308	Mgat1	chr11
6.6	-0.049	-0.146	-0.098	0	0	0	0.99976	0.99914	0.99967	0	0	0	104625	Cnot6	chr11
6.76	-0.114	-0.168	-0.053	0	0	0	0.99994	0.99989	0.99998	0	0	0	666899	Gm12191	NA
6.94	0.7	-0.506	-1.206	0	0	-0.84	0.85766	0.95205	0.21161	0	0	0	14584	Gfpt2	chr11
5.99	-0.464	-0.825	-0.361	0	0	0	0.99851	0.89755	0.99966	0	0	0	26420	Mapk9	chr11
3.12	-6.364	-4.254	2.111	-11.56	-6.93	3.9	0	6e-05	0.00231	-1	-1	0	74563	Rasgef1c	chr11
6.51	-1.322	-1.418	-0.095	-2.06	-2.66	0	0.03671	0.01438	0.9999	0	0	0	59044	Rnf130	chr11
6.56	-0.081	-0.406	-0.324	0	0	0	0.99992	0.99815	0.99944	0	0	0	76795	Tbc1d9b	chr11
2.04	-1.357	-1.421	-0.065	-1.03	-1.25	0	0.16564	0.12401	0.99623	0	0	0	68067	Mrnip	chr11
10.4	-2.273	-1.536	0.737	-6.78	-2.87	0	7e-05	0.01045	0.91116	-1	-1	0	18412	Sqstm1	chr11
4.95	0.771	1.085	0.314	0	0.48	0	0.88185	0.32273	0.99793	0	0	0	103534	Mgat4b	chr11
6.4	0.079	0.269	0.189	0	0	0	0.99991	0.9994	0.99981	0	0	0	103806	Maml1	chr11
8.96	0.243	0.203	-0.04	0	0	0	0.99985	0.99989	0.99999	0	0	0	12330	Canx	chr11
9.21	0.038	1.052	1.013	0	0.22	0.06	0.99927	0.41734	0.47652	0	0	0	59013	Hnrnph1	chr11
4.84	-0.425	-0.322	0.103	0	0	0	0.99919	0.99973	0.99998	0	0	0	216724	Rufy1	chr11
3.1	2.523	3.947	1.424	3.52	6.31	0.87	0.00399	0.00012	0.20472	1	1	0	216725	Adamts2	chr11
1.42	2.415	3.396	0.981	6.05	9.43	0	0.00016	1e-05	0.52727	1	1	0	30944	Zfp354c	chr11
1.69	-0.189	0.072	0.261	0	0	0	0.99803	0.99942	0.99696	0	0	0	22678	Zfp2	chr11
0.68	-0.995	-0.148	0.847	0	0	0	0.50723	0.993	0.70769	0	0	0	21408	Zfp354a	chr11
6.53	0.066	0.601	0.535	0	0	0	0.99853	0.92626	0.96074	0	0	0	12750	Clk4	chr11
2.29	4.054	5.208	1.154	11.26	14.2	0.48	0	0	0.3213	1	1	0	237759	Col23a1	chr11
4.23	-0.261	0.373	0.634	0	0	0	0.99889	0.99693	0.97197	0	0	0	72947	Phykpl	chr11
9.19	0.541	0.589	0.048	0	0	0	0.99221	0.98705	0.99997	0	0	0	15384	Hnrnpab	chr11
5.64	0.231	-0.445	-0.676	0	0	0	0.99969	0.99788	0.97941	0	0	0	52530	Nhp2	chr11
4.84	-0.628	-0.497	0.131	0	0	0	0.99349	0.99872	0.99998	0	0	0	66089	Rmnd5b	chr11
5.27	0.36	0.798	0.437	0	0	0	0.9983	0.88419	0.99727	0	0	0	212706	N4bp3	chr11
2.08	-0.372	-0.585	-0.212	0	0	0	0.99332	0.96848	0.99864	0	0	0	97775	D930048N14Rik	chr11
2.41	0.027	-0.921	-0.948	0	0	0	0.9995	0.63305	0.58902	0	0	0	66050	0610009B22Rik	chr11
6.72	0.186	1.005	0.819	0	0.03	0	0.99975	0.48753	0.89067	0	0	0	77371	Sec24a	chr11
4.65	-0.003	-0.41	-0.407	0	0	0	1	0.99932	0.99946	0	0	0	66397	Sar1b	chr11
3.99	1.898	-0.264	-2.162	2.59	0	-3.52	0.0161	0.98208	0.00396	0	0	0	76901	Jade2	chr11
4.59	0.59	-0.266	-0.856	0	0	0	0.92259	0.99115	0.71173	0	0	0	52626	Cdkn2aipnl	chr11
7.24	0.067	0.064	-0.004	0	0	0	0.99997	0.99997	1	0	0	0	22210	Ube2b	chr11
1.45	1.301	0.494	-0.807	1.18	0	0	0.13689	0.9701	0.76674	0	0	0	213084	Cdkl3	chr11
8.59	-1.025	-0.414	0.611	-0.17	0	0	0.43611	0.99764	0.98772	0	0	0	19052	Ppp2ca	chr11
7.67	0.606	0.146	-0.459	0	0	0	0.99468	0.99995	0.99943	0	0	0	21402	Skp1a	chr11
4.2	4.54	3.979	-0.561	16.61	15.06	0	0	0	0.96205	1	1	0	21414	Tcf7	chr11
-1.2	3.901	3.356	-0.545	6.44	5.88	0	1e-04	0.00019	0.82095	1	1	0	399633	A630014C17Rik	NA
7.8	0.39	-0.462	-0.851	0	0	0	0.99924	0.99826	0.8744	0	0	0	22333	Vdac1	chr11
7.91	0.662	0.041	-0.621	0	0	0	0.98724	0.99999	0.99486	0	0	0	213673	9530068E07Rik	chr11
8.75	-0.511	-0.439	0.072	0	0	0	0.99605	0.99807	0.99997	0	0	0	15525	Hspa4	chr11
3.57	-0.505	-1.34	-0.836	0	-1.85	0	0.98308	0.05072	0.81047	0	0	0	67966	Zcchc10	chr11
9.55	-0.593	-0.716	-0.122	0	0	0	0.95184	0.88636	0.99906	0	0	0	93736	Aff4	chr11
5.25	0.921	0.136	-0.784	0	0	0	0.68171	0.99976	0.90208	0	0	0	22272	Uqcrq	chr11
4.42	-3.846	-2.586	1.26	-12.82	-7.06	1.43	0	5e-05	0.09583	-1	-1	0	71774	Shroom1	chr11
-0.55	-3.418	-1.824	1.594	-6.36	-2.07	1.86	0.00011	0.03634	0.04987	-1	0	0	237761	Sowaha	chr11
5.46	-0.037	-0.386	-0.349	0	0	0	0.99997	0.99883	0.99939	0	0	0	20362	Sept8	chr11
5.14	0.168	0.117	-0.051	0	0	0	0.99995	0.99997	0.99999	0	0	0	16568	Kif3a	chr11
5.23	0.237	-0.042	-0.279	0	0	0	0.99989	0.99999	0.99988	0	0	0	19360	Rad50	chr11
7.68	0.716	0.783	0.067	0	0	0	0.73466	0.68452	0.99031	0	0	0	16362	Irf1	chr11
4.84	-0.891	-0.39	0.501	0	0	0	0.81518	0.99963	0.99913	0	0	0	20520	Slc22a5	chr11
2.98	-0.092	-0.031	0.061	0	0	0	0.99212	0.99763	0.99547	0	0	0	56517	Slc22a21	chr11
3.21	-1.825	-1.088	0.737	-1.62	-0.17	0	0.0726	0.43659	0.70969	0	0	0	30805	Slc22a4	chr11
5.46	3.637	1.43	-2.207	9.08	1.64	-4.42	1e-05	0.07005	0.00113	1	0	-1	30794	Pdlim4	chr11
3.48	0.485	-1.811	-2.296	0	-2.4	-3.67	0.89326	0.02156	0.00319	0	0	0	18452	P4ha2	chr11
6.86	-0.656	0.317	0.973	0	0	0	0.90538	0.98968	0.54636	0	0	0	216742	Fnip1	chr11
6.61	0.048	0.43	0.382	0	0	0	0.99955	0.98619	0.99312	0	0	0	192786	Rapgef6	chr11
5.49	-0.009	-0.579	-0.57	0	0	0	1	0.99522	0.99665	0	0	0	72729	Cdc42se2	chr11
6.15	1.145	0.101	-1.044	0.88	0	-0.29	0.2028	0.99978	0.39086	0	0	0	15254	Hint1	chr11
8.1	-3.687	-6.757	-3.07	-9.46	-19.03	-7.33	1e-05	0	4e-05	-1	-1	-1	14778	Gpx3	chr11
6.37	-0.681	-0.959	-0.278	0	0	0	0.97179	0.60931	0.99967	0	0	0	57783	Tnip1	chr11
8.48	1.679	1.287	-0.391	5.25	2.21	0	0.00039	0.02934	0.99962	1	0	0	11749	Anxa6	chr11
6.86	-2.647	-1.252	1.395	-10.24	-1.58	2.63	0	0.07602	0.01509	-1	0	0	14667	Gm2a	chr11
4.25	0.595	-0.449	-1.044	0	0	-0.29	0.98227	0.99682	0.3896	0	0	0	215335	Slc36a1	chr11
4.31	5.265	5.024	-0.241	18.68	18.58	0	0	0	0.99452	1	1	0	245827	Fat2	chr11
6.64	5.039	5.903	0.864	7.87	9.44	0	3e-05	1e-05	0.61204	1	1	0	20692	Sparc	chr11
5.82	-0.256	-0.941	-0.686	0	0	0	0.99973	0.66376	0.98164	0	0	0	11927	Atox1	chr11
7.86	-0.982	-0.19	0.792	0	0	0	0.54904	0.99981	0.92604	0	0	0	27041	G3bp1	chr11
5.91	-0.13	-0.121	0.009	0	0	0	0.99995	0.99995	1	0	0	0	67726	Fam114a2	chr11
4.92	0.281	0.198	-0.083	0	0	0	0.9998	0.99992	0.99998	0	0	0	216760	Mfap3	chr11
5.87	-0.102	0.549	0.651	0	0	0	0.99962	0.98195	0.96421	0	0	0	171212	Galnt10	chr11
3.87	0.248	0.052	-0.195	0	0	0	0.99941	0.99994	0.9997	0	0	0	50724	Sap30l	chr11
8.1	-0.673	-0.748	-0.075	0	0	0	0.98485	0.96068	0.99999	0	0	0	73158	Larp1	chr11
0.68	-0.149	-0.222	-0.073	0	0	0	0.99565	0.9934	0.99836	0	0	0	676527	Gm12248	NA
4.39	0.251	-0.116	-0.367	0	0	0	0.99935	0.99985	0.99862	0	0	0	69125	Cnot8	chr11
5.39	0.322	0.419	0.097	0	0	0	0.99968	0.99919	0.99998	0	0	0	216766	Gemin5	chr11
1.71	0.764	-0.079	-0.843	0	0	0	0.79127	0.99813	0.71373	0	0	0	216767	Mrpl22	chr11
3.39	0.756	0.506	-0.25	0	0	0	0.89069	0.9885	0.99845	0	0	0	16145	Igtp	chr11
3.44	1.051	0.429	-0.622	0.25	0	0	0.40624	0.99028	0.94958	0	0	0	54396	Irgm2	chr11
4.63	-1.263	-0.941	0.321	-1.53	0	0	0.08289	0.62929	0.99864	0	0	0	103836	Zfp692	chr11
4.35	-0.571	-0.666	-0.095	0	0	0	0.99398	0.98305	0.99997	0	0	0	319475	Zfp672	chr11
4.59	-1.237	-0.835	0.401	-1.59	0	0	0.07548	0.84867	0.99873	0	0	0	79566	Sh3bp5l	chr11
2.07	-5.627	-5.737	-0.11	-10.52	-10.79	0	0	0	0.99759	-1	-1	0	78354	2210407C18Rik	chr11
1.12	-0.83	-1.115	-0.285	0	-0.36	0	0.68977	0.36446	0.97878	0	0	0	237769	Gm12258	NA
1.76	-0.278	-0.447	-0.169	0	0	0	0.99273	0.97987	0.99754	0	0	0	69944	2810021J22Rik	chr11
1.63	0.113	0.213	0.1	0	0	0	0.99271	0.98551	0.99414	0	0	0	22698	Zfp39	chr11
6.03	1.27	0.976	-0.294	1.63	0	0	0.07086	0.55597	0.9991	0	0	0	108660	Rnf187	chr11
2.97	-0.453	-1.781	-1.328	0	-3.24	-1.4	0.96524	0.00597	0.09947	0	-1	0	319162	Hist3h2a	chr11
0.39	-0.037	-0.296	-0.258	0	0	0	0.9985	0.98543	0.9881	0	0	0	75694	2310058D17Rik	NA
4.21	-0.132	-0.13	0.003	0	0	0	0.99812	0.99833	0.99997	0	0	0	94091	Trim11	chr11
3.24	-0.513	-1.027	-0.514	0	-0.12	0	0.95917	0.45515	0.96767	0	0	0	216792	Iba57	chr11
5.11	-0.012	-1.108	-1.096	0	-0.56	-0.52	0.99992	0.29561	0.31016	0	0	0	14923	Guk1	chr11
3.05	0.331	-0.263	-0.593	0	0	0	0.99644	0.99851	0.97369	0	0	0	67212	Mrpl55	chr11
4.12	0.222	0.523	0.301	0	0	0	0.99965	0.99411	0.99936	0	0	0	67862	2310033P09Rik	chr11
8.71	-0.393	-0.476	-0.083	0	0	0	0.99968	0.99916	0.99999	0	0	0	11840	Arf1	chr11
0.86	0.907	1.859	0.951	0	1.37	0	0.56647	0.10569	0.53751	0	0	0	216795	Wnt9a	chr11
4.92	0.848	0.171	-0.676	0	0	0	0.83658	0.99983	0.97579	0	0	0	67826	Snap47	chr11
4.45	-1.653	-0.348	1.305	-3.42	0	1.68	0.00457	0.99474	0.06567	-1	0	0	194952	Jmjd4	chr11
2.93	-0.79	-0.203	0.587	0	0	0	0.77902	0.99282	0.93182	0	0	0	237775	Zfp867	chr11
6.13	-0.684	-0.331	0.353	0	0	0	0.95293	0.99808	0.99843	0	0	0	268417	Zkscan17	chr11
2.49	-1.332	-1.071	0.261	-1.26	-0.27	0	0.12179	0.39726	0.99305	0	0	0	74476	4933439C10Rik	chr11
8.72	-0.656	-0.607	0.049	0	0	0	0.98249	0.98971	0.99998	0	0	0	26936	Mprip	chr11
-0.12	-1.368	-1.023	0.344	-0.61	-0.04	0	0.28224	0.4901	0.8874	0	0	0	69320	1700007J10Rik	chr11
5.83	-1.116	-0.778	0.338	-0.87	0	0	0.20371	0.93405	0.99966	0	0	0	216805	Flcn	chr11
5.86	-0.173	-0.161	0.012	0	0	0	0.99989	0.99991	1	0	0	0	26572	Cops3	chr11
2.97	0.011	-0.464	-0.475	0	0	0	0.99996	0.99255	0.99193	0	0	0	103850	Nt5m	chr11
4.27	-0.149	-1.022	-0.873	0	-0.17	0	0.99989	0.43406	0.82583	0	0	0	192191	Med9	chr11
5.98	-1.269	-2.118	-0.849	-1.71	-7.08	0	0.06331	5e-05	0.83296	0	-1	0	19416	Rasd1	chr11
1.43	-0.326	-0.266	0.06	0	0	0	0.98429	0.98998	0.99862	0	0	0	18618	Pemt	chr11
6.67	-0.194	-0.384	-0.19	0	0	0	0.9999	0.99936	0.99994	0	0	0	19377	Rai1	chr11
7.74	-0.94	-0.845	0.095	0	0	0	0.6673	0.85895	0.99997	0	0	0	20787	Srebf1	chr11
6.34	-0.104	0.013	0.117	0	0	0	0.99998	1	0.99998	0	0	0	216810	Tom1l2	chr11
1.27	0.059	-0.656	-0.716	0	0	0	0.99833	0.90219	0.85981	0	0	0	74665	Drc3	chr11
4.18	0.271	0.144	-0.127	0	0	0	0.99965	0.99991	0.99993	0	0	0	246782	Atpaf2	chr11
5.98	-0.194	0.577	0.771	0	0	0	0.99905	0.97638	0.89356	0	0	0	66771	Gid4	chr11
5.21	0.018	0.008	-0.009	0	0	0	1	1	1	0	0	0	13495	Drg2	chr11
-0.54	0.942	1.835	0.893	0	2.3	0	0.56332	0.02529	0.61056	0	0	0	17910	Myo15	chr11
7.55	-0.036	0.188	0.224	0	0	0	0.99998	0.99986	0.99989	0	0	0	268420	Alkbh5	chr11
6.18	-0.072	-0.028	0.044	0	0	0	0.99998	0.99999	0.99999	0	0	0	16897	Llgl1	chr11
7.13	-0.716	-0.683	0.033	0	0	0	0.96894	0.97875	0.99999	0	0	0	14248	Flii	chr11
3.01	-0.997	-1.974	-0.977	0	-4.88	0	0.50549	0.00062	0.54725	0	-1	0	237781	Mief2	chr11
3.91	0.196	-0.08	-0.275	0	0	0	0.99971	0.99993	0.99955	0	0	0	21975	Top3a	chr11
6.45	-0.635	0.14	0.775	0	0	0	0.96439	0.9995	0.89706	0	0	0	237782	Smcr8	chr11
5.14	-0.356	-0.426	-0.07	0	0	0	0.99728	0.99522	0.99987	0	0	0	20425	Shmt1	chr11
4.11	-0.171	-0.751	-0.58	0	0	0	0.99778	0.86625	0.96383	0	0	0	216820	Dhrs7b	chr11
5.73	-0.129	0.33	0.459	0	0	0	0.99995	0.99967	0.99913	0	0	0	216821	Tmem11	chr11
5.04	-0.908	-0.802	0.106	0	0	0	0.70612	0.87196	0.99986	0	0	0	24083	Natd1	chr11
3.15	-0.297	0.366	0.664	0	0	0	0.99879	0.99756	0.96536	0	0	0	24082	Map2k3os	chr11
8.92	-0.727	0.072	0.799	0	0	0	0.88228	0.99931	0.83362	0	0	0	26397	Map2k3	chr11
7.12	-0.493	-0.65	-0.157	0	0	0	0.99647	0.98059	0.99991	0	0	0	216825	Usp22	chr11
-0.71	-0.883	-3.248	-2.366	0	-4.31	-2.84	0.58307	0.00133	0.01106	0	-1	0	11670	Aldh3a1	chr11
6.21	-0.132	-2.03	-1.898	0	-4.92	-4.54	0.99865	0.00059	0.00097	0	-1	-1	11671	Aldh3a2	chr11
-0.01	0.333	1.402	1.069	0	0.29	0.05	0.86246	0.44602	0.57116	0	0	0	76293	Mfap4	chr11
4.49	-0.264	-0.504	-0.24	0	0	0	0.99715	0.98304	0.99826	0	0	0	23939	Mapk7	chr11
3.33	1.263	0.19	-1.072	1.13	0	-0.32	0.14639	0.99775	0.37882	0	0	0	27078	B9d1	chr11
5.88	-0.237	-1.71	-1.473	0	-3.87	-2.72	0.99837	0.0024	0.0131	0	-1	0	13855	Epn2	chr11
6.63	1.013	1.176	0.163	0.07	1.03	0	0.4712	0.1666	0.99968	0	0	0	69640	Fam83g	chr11
3.53	-0.081	-0.342	-0.261	0	0	0	0.99994	0.99939	0.99974	0	0	0	212627	Prpsap2	chr11
5.66	0.348	0.557	0.208	0	0	0	0.99986	0.99846	0.99998	0	0	0	29869	Ulk2	chr11
4.93	-0.443	-0.7	-0.258	0	0	0	0.99917	0.98262	0.99992	0	0	0	56697	Akap10	chr11
5.88	-0.16	-0.421	-0.261	0	0	0	0.99974	0.99742	0.99958	0	0	0	432572	Specc1	chr11
-0.73	1.945	2.976	1.031	2.95	5.81	0.09	0.00931	2e-04	0.46727	1	1	0	11541	Adora2b	chr11
1.45	0.435	0.129	-0.307	0	0	0	0.95947	0.99551	0.98216	0	0	0	69747	Zswim7	chr11
5	-0.267	0.347	0.613	0	0	0	0.98951	0.98194	0.92003	0	0	0	72795	Ttc19	chr11
8.1	-0.386	-0.39	-0.004	0	0	0	0.99958	0.99954	1	0	0	0	20185	Ncor1	chr11
2.25	-1.021	-1.711	-0.69	-0.12	-4.24	0	0.45489	0.00143	0.95958	0	-1	0	327942	Pigl	chr11
2.16	-2.322	-3.493	-1.171	-5.03	-9.86	-0.84	0.00052	0	0.21229	-1	-1	0	73139	Cenpv	chr11
-0.7	-2.008	-2.139	-0.131	-2.53	-2.91	0	0.01786	0.00982	0.98946	0	-1	0	100503292	Gm12279	NA
6.86	-0.133	-0.449	-0.316	0	0	0	0.99984	0.99703	0.99946	0	0	0	22187	Ubb	chr11
-0.81	4.324	2.191	-2.133	4.6	2.03	-1.57	0.00093	0.03856	0.07938	1	0	0	22368	Trpv2	chr11
6.4	-0.799	-0.614	0.185	0	0	0	0.90953	0.98849	0.9999	0	0	0	69221	2410006H16Rik	chr11
1.84	-0.902	-1.248	-0.347	0	-0.98	0	0.64119	0.17795	0.98734	0	0	0	192976	Lrrc75a	chr11
3.76	-1.753	-2.297	-0.543	-3.65	-6.45	0	0.00325	1e-04	0.98383	-1	-1	0	216829	Mmgt2	chr11
1.57	0.848	0.192	-0.656	0	0	0	0.75965	0.99868	0.93808	0	0	0	170740	Zfp287	chr11
-0.34	2.723	2.749	0.025	4.77	5.01	0	0.00071	0.00053	0.99661	1	1	0	192651	Zfp286	chr11
5.39	-2.647	-3.005	-0.358	-6.81	-8.29	0	7e-05	2e-05	0.9918	-1	-1	0	94092	Trim16	chr11
5.79	-0.88	-1.054	-0.174	0	-0.43	0	0.81465	0.3393	0.99995	0	0	0	67510	Tvp23b	chr11
5.32	1.672	3.41	1.738	5.28	17.79	5.69	0.00038	0	0.00024	1	1	1	18858	Pmp22	chr11
3.69	3.435	4.324	0.889	9.91	12.71	0	0	0	0.65467	1	1	0	54710	Hs3st3b1	chr11
3.68	0.553	0.723	0.17	0	0	0	0.9635	0.88336	0.99786	0	0	0	70383	Cox10	chr11
1.33	1.71	2.156	0.446	2.67	4.29	0	0.01427	0.00134	0.95543	0	1	0	66456	2810001G20Rik	chr11
0.8	3.41	4.449	1.039	7.5	9.9	0.1	4e-05	0	0.46058	1	1	0	15478	Hs3st3a1	chr11
5.3	0.404	0.415	0.01	0	0	0	0.99888	0.99881	1	0	0	0	68626	Elac2	chr11
3.94	0.801	1.939	1.138	0	3.96	0.59	0.80021	0.00211	0.28637	0	1	0	216831	Arhgap44	chr11
-2.35	5.526	5.065	-0.462	6.43	5.83	0	0.00011	0.00021	0.79306	1	1	0	214384	Myocd	chr11
6.88	-0.407	0.069	0.476	0	0	0	0.97597	0.99826	0.97121	0	0	0	26398	Map2k4	chr11
4.61	-0.361	-0.163	0.198	0	0	0	0.99841	0.99973	0.99972	0	0	0	52712	Zkscan6	chr11
0.81	-0.583	-1.106	-0.523	0	-0.47	0	0.94321	0.32397	0.97168	0	0	0	338369	Tmem220	chr11
3.06	-0.382	-0.708	-0.326	0	0	0	0.9986	0.96458	0.99945	0	0	0	66358	Adprm	chr11
3.73	-0.177	-0.176	0.001	0	0	0	0.99965	0.99969	1	0	0	0	52892	Sco1	chr11
3.89	1.66	3.293	1.633	2.14	6.78	1.88	0.03235	7e-05	0.04823	0	1	0	14457	Gas7	chr11
4.58	-4.617	-3.381	1.236	-12.63	-8.26	1.04	0	2e-05	0.16534	-1	-1	0	216835	Usp43	chr11
4.18	-0.322	-0.583	-0.262	0	0	0	0.99915	0.99023	0.99966	0	0	0	55943	Stx8	chr11
6.67	-4.661	-3.548	1.113	-15.62	-10.97	0.53	0	0	0.3049	-1	-1	0	18208	Ntn1	chr11
2.36	-4.303	-5.33	-1.027	-11.49	-15.31	-0.15	0	0	0.4431	-1	-1	0	215723	Mfsd6l	chr11
6.02	3.032	3.511	0.479	15.58	19.15	0	0	0	0.99859	1	1	0	77579	Myh10	chr11
8.34	-1.168	-1.075	0.093	-1.15	-0.51	0	0.14141	0.31215	0.99994	0	0	0	83431	Ndel1	chr11
7.38	-0.637	-0.537	0.1	0	0	0	0.99205	0.99764	0.99998	0	0	0	19941	Rpl26	chr11
0.37	2.754	1.961	-0.793	4.25	2.61	0	0.00143	0.01555	0.68165	1	0	0	442801	Arhgef15	chr11
3.12	-0.628	-2.61	-1.983	0	-7.04	-4.5	0.91175	6e-05	0.00101	0	-1	-1	71998	Slc25a35	chr11
1.07	0.95	0.149	-0.801	0	0	0	0.57862	0.998	0.78805	0	0	0	57785	Rangrf	chr11
4.79	0.328	-0.042	-0.371	0	0	0	0.99982	0.99999	0.9998	0	0	0	237823	Pfas	chr11
5.24	0.374	0.24	-0.134	0	0	0	0.99918	0.99978	0.99994	0	0	0	68964	Ctc1	chr11
2.36	2.966	2.59	-0.376	6.33	5.51	0	0.00012	0.00029	0.95524	1	1	0	20877	Aurkb	chr11
3.81	-0.067	-0.149	-0.082	0	0	0	0.99985	0.99966	0.99986	0	0	0	71923	Borcs6	chr11
2.74	0.908	0.102	-0.806	0	0	0	0.68294	0.99971	0.84303	0	0	0	66910	Tmem107	chr11
6	-0.576	-0.74	-0.164	0	0	0	0.98599	0.9308	0.99978	0	0	0	22318	Vamp2	chr11
8.82	-1.483	0.023	1.506	-2.54	0	2.89	0.01746	0.9999	0.01021	0	0	0	18626	Per1	chr11
3.4	-2.647	-1.03	1.617	-7.11	-0.12	2.94	5e-05	0.45218	0.00936	-1	0	0	23801	Aloxe3	chr11
0.24	2.603	2.917	0.315	4.75	5.76	0	0.00074	0.00022	0.95347	1	1	0	11688	Alox8	chr11
3.97	0.932	0.537	-0.395	0	0	0	0.68645	0.99656	0.99916	0	0	0	216846	Cntrob	chr11
3.9	0.46	-0.353	-0.814	0	0	0	0.99309	0.99804	0.85659	0	0	0	245828	Trappc1	chr11
0.57	-1.254	-3.084	-1.83	-0.86	-7.69	-3.43	0.20753	3e-05	0.00453	0	-1	0	16499	Kcnab3	chr11
0.4	1.776	1.975	0.199	1.12	1.45	0	0.15027	0.09399	0.91705	0	0	0	80515	Chd3os	chr11
7.45	-0.846	-1.496	-0.65	0	-3.99	0	0.87676	0.00203	0.99169	0	-1	0	216848	Chd3	chr11
1.35	0.137	-0.046	-0.183	0	0	0	0.9986	0.99967	0.99824	0	0	0	327951	Cyb5d1	chr11
3.82	0.674	-0.047	-0.721	0	0	0	0.95491	0.99992	0.93758	0	0	0	78304	Naa38	chr11
1	0.682	0.987	0.306	0	0	0	0.79974	0.51386	0.95541	0	0	0	67020	Tmem88	chr11
9.21	-0.251	0.444	0.694	0	0	0	0.99777	0.99011	0.94053	0	0	0	216850	Kdm6b	chr11
0.38	-0.46	0.703	1.163	0	0	0.39	0.88917	0.74676	0.35368	0	0	0	327954	Dnah2	chr11
0.28	3.484	3.496	0.012	7.52	7.89	0	4e-05	3e-05	0.99876	1	1	0	13643	Efnb3	chr11
2.8	0.507	0.038	-0.469	0	0	0	0.98857	0.99992	0.9929	0	0	0	216853	Wrap53	chr11
6.16	0.681	0.809	0.128	0	0	0	0.95879	0.86595	0.99983	0	0	0	22059	Trp53	chr11
0.56	2.753	2.888	0.135	2.88	3.16	0	0.01047	0.00685	0.94917	1	1	0	11932	Atp1b2	chr11
1.18	0.726	0.463	-0.264	0	0	0	0.86967	0.98147	0.99459	0	0	0	69215	Sat2	chr11
6.32	0.239	0.093	-0.146	0	0	0	0.99994	0.99999	0.99999	0	0	0	23879	Fxr2	chr11
5.48	-1.227	-1.123	0.104	-1.96	-1.07	0	0.0426	0.15837	0.99999	0	0	0	24070	Mpdu1	chr11
2.92	-1.44	0.089	1.53	-2.08	0	2.55	0.03567	0.99875	0.0172	0	0	0	12514	Cd68	chr11
7.68	-0.175	0.453	0.628	0	0	0	0.99988	0.99835	0.99214	0	0	0	13681	Eif4a1	chr11
